geo_value,signal,time_value,value,region,,
7 CLT AREA,pct_ed_visits_influenza,5/7/2011,0.02,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,5/14/2011,0,1 NENC,,
2 SENC,pct_ed_visits_influenza,5/14/2011,0.07,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,5/14/2011,0.04,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,5/14/2011,0.02,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,5/14/2011,0.03,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,5/14/2011,0,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,5/14/2011,0.03,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,5/21/2011,0.03,1 NENC,,
2 SENC,pct_ed_visits_influenza,5/21/2011,0,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,5/21/2011,0.02,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,5/21/2011,0.01,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,5/21/2011,0.03,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,5/21/2011,0.03,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,5/21/2011,0.03,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,5/28/2011,0.04,1 NENC,,
2 SENC,pct_ed_visits_influenza,5/28/2011,0.03,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,5/28/2011,0.05,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,5/28/2011,0,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,5/28/2011,0.01,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,5/28/2011,0,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,5/28/2011,0.01,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,6/4/2011,0,1 NENC,,
2 SENC,pct_ed_visits_influenza,6/4/2011,0.02,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,6/4/2011,0.02,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,6/4/2011,0.04,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,6/4/2011,0,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,6/4/2011,0.02,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,6/4/2011,0.01,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,6/11/2011,0.07,1 NENC,,
2 SENC,pct_ed_visits_influenza,6/11/2011,0.02,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,6/11/2011,0.01,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,6/11/2011,0.02,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,6/11/2011,0.01,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,6/11/2011,0,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,6/11/2011,0.01,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,6/18/2011,0.01,1 NENC,,
2 SENC,pct_ed_visits_influenza,6/18/2011,0,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,6/18/2011,0.02,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,6/18/2011,0.02,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,6/18/2011,0.01,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,6/18/2011,0,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,6/18/2011,0,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,6/25/2011,0.02,1 NENC,,
2 SENC,pct_ed_visits_influenza,6/25/2011,0,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,6/25/2011,0,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,6/25/2011,0.02,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,6/25/2011,0.01,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,6/25/2011,0.01,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,6/25/2011,0.01,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,7/2/2011,0.01,1 NENC,,
2 SENC,pct_ed_visits_influenza,7/2/2011,0,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,7/2/2011,0,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,7/2/2011,0.01,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,7/2/2011,0.01,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,7/2/2011,0,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,7/2/2011,0.03,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,7/9/2011,0,1 NENC,,
2 SENC,pct_ed_visits_influenza,7/9/2011,0.02,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,7/9/2011,0.02,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,7/9/2011,0.01,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,7/9/2011,0.05,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,7/9/2011,0,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,7/9/2011,0.01,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,7/16/2011,0,1 NENC,,
2 SENC,pct_ed_visits_influenza,7/16/2011,0.02,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,7/16/2011,0.04,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,7/16/2011,0.01,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,7/16/2011,0.01,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,7/16/2011,0.01,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,7/16/2011,0,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,7/23/2011,0.02,1 NENC,,
2 SENC,pct_ed_visits_influenza,7/23/2011,0.02,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,7/23/2011,0.02,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,7/23/2011,0,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,7/23/2011,0.01,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,7/23/2011,0,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,7/23/2011,0.01,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,7/30/2011,0,1 NENC,,
2 SENC,pct_ed_visits_influenza,7/30/2011,0.02,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,7/30/2011,0.01,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,7/30/2011,0,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,7/30/2011,0.01,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,7/30/2011,0,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,7/30/2011,0,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,8/6/2011,0.02,1 NENC,,
2 SENC,pct_ed_visits_influenza,8/6/2011,0,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,8/6/2011,0.01,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,8/6/2011,0,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,8/6/2011,0.01,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,8/6/2011,0.02,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,8/6/2011,0.01,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,8/13/2011,0.02,1 NENC,,
2 SENC,pct_ed_visits_influenza,8/13/2011,0,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,8/13/2011,0.02,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,8/13/2011,0.01,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,8/13/2011,0.01,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,8/13/2011,0,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,8/13/2011,0,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,8/20/2011,0.01,1 NENC,,
2 SENC,pct_ed_visits_influenza,8/20/2011,0,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,8/20/2011,0.03,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,8/20/2011,0.02,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,8/20/2011,0.01,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,8/20/2011,0.03,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,8/20/2011,0.03,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,8/27/2011,0,1 NENC,,
2 SENC,pct_ed_visits_influenza,8/27/2011,0,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,8/27/2011,0.03,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,8/27/2011,0.02,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,8/27/2011,0.01,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,8/27/2011,0,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,8/27/2011,0,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,9/3/2011,0,1 NENC,,
2 SENC,pct_ed_visits_influenza,9/3/2011,0.02,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,9/3/2011,0.02,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,9/3/2011,0.01,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,9/3/2011,0.02,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,9/3/2011,0,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,9/3/2011,0.01,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,9/10/2011,0.02,1 NENC,,
2 SENC,pct_ed_visits_influenza,9/10/2011,0,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,9/10/2011,0.03,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,9/10/2011,0.01,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,9/10/2011,0.04,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,9/10/2011,0,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,9/10/2011,0.02,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,9/17/2011,0.04,1 NENC,,
2 SENC,pct_ed_visits_influenza,9/17/2011,0.03,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,9/17/2011,0.03,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,9/17/2011,0.01,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,9/17/2011,0.05,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,9/17/2011,0,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,9/17/2011,0.04,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,9/24/2011,0.06,1 NENC,,
2 SENC,pct_ed_visits_influenza,9/24/2011,0.05,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,9/24/2011,0.02,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,9/24/2011,0.01,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,9/24/2011,0.05,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,9/24/2011,0.03,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,9/24/2011,0.01,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,10/1/2011,0.05,1 NENC,,
2 SENC,pct_ed_visits_influenza,10/1/2011,0.07,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,10/1/2011,0.04,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,10/1/2011,0.04,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,10/1/2011,0.05,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,10/1/2011,0.02,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,10/1/2011,0.04,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,10/8/2011,0.05,1 NENC,,
2 SENC,pct_ed_visits_influenza,10/8/2011,0.02,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,10/8/2011,0.04,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,10/8/2011,0.08,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,10/8/2011,0.06,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,10/8/2011,0.02,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,10/8/2011,0.03,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,10/15/2011,0.06,1 NENC,,
2 SENC,pct_ed_visits_influenza,10/15/2011,0.1,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,10/15/2011,0.07,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,10/15/2011,0.05,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,10/15/2011,0.03,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,10/15/2011,0.01,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,10/15/2011,0.05,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,10/22/2011,0.15,1 NENC,,
2 SENC,pct_ed_visits_influenza,10/22/2011,0.05,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,10/22/2011,0.07,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,10/22/2011,0.05,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,10/22/2011,0.09,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,10/22/2011,0.01,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,10/22/2011,0.08,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,10/29/2011,0.05,1 NENC,,
2 SENC,pct_ed_visits_influenza,10/29/2011,0.07,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,10/29/2011,0.08,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,10/29/2011,0.05,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,10/29/2011,0.13,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,10/29/2011,0.05,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,10/29/2011,0.08,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,11/5/2011,0.11,1 NENC,,
2 SENC,pct_ed_visits_influenza,11/5/2011,0.05,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,11/5/2011,0.05,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,11/5/2011,0.05,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,11/5/2011,0.05,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,11/5/2011,0.05,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,11/5/2011,0.07,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,11/12/2011,0.12,1 NENC,,
2 SENC,pct_ed_visits_influenza,11/12/2011,0.05,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,11/12/2011,0.06,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,11/12/2011,0.06,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,11/12/2011,0.1,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,11/12/2011,0.03,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,11/12/2011,0.1,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,11/19/2011,0.11,1 NENC,,
2 SENC,pct_ed_visits_influenza,11/19/2011,0.07,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,11/19/2011,0.14,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,11/19/2011,0.08,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,11/19/2011,0.1,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,11/19/2011,0.06,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,11/19/2011,0.09,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,11/26/2011,0.02,1 NENC,,
2 SENC,pct_ed_visits_influenza,11/26/2011,0.16,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,11/26/2011,0.13,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,11/26/2011,0.07,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,11/26/2011,0.07,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,11/26/2011,0.08,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,11/26/2011,0.08,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,12/3/2011,0.06,1 NENC,,
2 SENC,pct_ed_visits_influenza,12/3/2011,0.02,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,12/3/2011,0.11,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,12/3/2011,0.04,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,12/3/2011,0.1,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,12/3/2011,0.04,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,12/3/2011,0.08,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,12/10/2011,0.08,1 NENC,,
2 SENC,pct_ed_visits_influenza,12/10/2011,0.13,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,12/10/2011,0.14,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,12/10/2011,0.07,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,12/10/2011,0.17,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,12/10/2011,0.04,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,12/10/2011,0.13,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,12/17/2011,0.1,1 NENC,,
2 SENC,pct_ed_visits_influenza,12/17/2011,0,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,12/17/2011,0.19,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,12/17/2011,0.05,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,12/17/2011,0.11,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,12/17/2011,0.12,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,12/17/2011,0.09,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,12/24/2011,0.06,1 NENC,,
2 SENC,pct_ed_visits_influenza,12/24/2011,0.05,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,12/24/2011,0.2,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,12/24/2011,0.07,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,12/24/2011,0.17,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,12/24/2011,0.09,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,12/24/2011,0.08,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,12/31/2011,0.12,1 NENC,,
2 SENC,pct_ed_visits_influenza,12/31/2011,0.07,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,12/31/2011,0.13,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,12/31/2011,0.07,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,12/31/2011,0.17,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,12/31/2011,0.07,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,12/31/2011,0.17,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,1/7/2012,0.1,1 NENC,,
2 SENC,pct_ed_visits_influenza,1/7/2012,0.13,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,1/7/2012,0.14,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,1/7/2012,0.17,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,1/7/2012,0.13,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,1/7/2012,0.12,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,1/7/2012,0.14,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,1/14/2012,0.18,1 NENC,,
2 SENC,pct_ed_visits_influenza,1/14/2012,0.07,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,1/14/2012,0.15,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,1/14/2012,0.11,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,1/14/2012,0.12,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,1/14/2012,0.08,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,1/14/2012,0.12,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,1/21/2012,0.25,1 NENC,,
2 SENC,pct_ed_visits_influenza,1/21/2012,0.12,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,1/21/2012,0.09,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,1/21/2012,0.15,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,1/21/2012,0.1,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,1/21/2012,0.05,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,1/21/2012,0.17,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,1/28/2012,0.13,1 NENC,,
2 SENC,pct_ed_visits_influenza,1/28/2012,0.05,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,1/28/2012,0.08,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,1/28/2012,0.17,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,1/28/2012,0.07,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,1/28/2012,0.03,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,1/28/2012,0.15,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,2/4/2012,0.14,1 NENC,,
2 SENC,pct_ed_visits_influenza,2/4/2012,0.05,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,2/4/2012,0.06,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,2/4/2012,0.05,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,2/4/2012,0.09,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,2/4/2012,0.05,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,2/4/2012,0.15,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,2/11/2012,0.09,1 NENC,,
2 SENC,pct_ed_visits_influenza,2/11/2012,0.03,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,2/11/2012,0.08,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,2/11/2012,0.08,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,2/11/2012,0.13,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,2/11/2012,0.06,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,2/11/2012,0.16,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,2/18/2012,0.06,1 NENC,,
2 SENC,pct_ed_visits_influenza,2/18/2012,0.28,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,2/18/2012,0.09,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,2/18/2012,0.05,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,2/18/2012,0.17,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,2/18/2012,0.09,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,2/18/2012,0.24,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,2/25/2012,0.17,1 NENC,,
2 SENC,pct_ed_visits_influenza,2/25/2012,0.24,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,2/25/2012,0.07,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,2/25/2012,0.15,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,2/25/2012,0.18,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,2/25/2012,0.14,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,2/25/2012,0.22,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,3/3/2012,0.08,1 NENC,,
2 SENC,pct_ed_visits_influenza,3/3/2012,0.17,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,3/3/2012,0.15,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,3/3/2012,0.21,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,3/3/2012,0.32,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,3/3/2012,0.09,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,3/3/2012,0.2,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,3/10/2012,0.17,1 NENC,,
2 SENC,pct_ed_visits_influenza,3/10/2012,0.26,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,3/10/2012,0.14,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,3/10/2012,0.13,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,3/10/2012,0.35,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,3/10/2012,0.06,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,3/10/2012,0.32,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,3/17/2012,0.1,1 NENC,,
2 SENC,pct_ed_visits_influenza,3/17/2012,0.36,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,3/17/2012,0.11,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,3/17/2012,0.15,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,3/17/2012,0.29,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,3/17/2012,0.13,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,3/17/2012,0.23,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,3/24/2012,0.07,1 NENC,,
2 SENC,pct_ed_visits_influenza,3/24/2012,0.23,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,3/24/2012,0.18,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,3/24/2012,0.11,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,3/24/2012,0.21,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,3/24/2012,0.08,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,3/24/2012,0.23,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,3/31/2012,0.11,1 NENC,,
2 SENC,pct_ed_visits_influenza,3/31/2012,0.29,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,3/31/2012,0.09,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,3/31/2012,0.13,4 RTP AREA,,
5 TRIAD AREA,pct_ed_visits_influenza,3/31/2012,0.31,5 TRIAD AREA,,
6 WNC,pct_ed_visits_influenza,3/31/2012,0.11,6 WNC,,
7 CLT AREA,pct_ed_visits_influenza,3/31/2012,0.13,7 CLT AREA,,
1 NENC,pct_ed_visits_influenza,4/7/2012,0.05,1 NENC,,
2 SENC,pct_ed_visits_influenza,4/7/2012,0.16,2 SENC,,
3 FAY AREA,pct_ed_visits_influenza,4/7/2012,0.16,3 FAY AREA,,
4 RTP AREA,pct_ed_visits_influenza,4/7/2012,0.1,4 RTP AREA,,
